vdd,vdd18,vwl,vgen,bitline_leakage(uA),Vss(V),Vrbl(V),Instance,Lot Bin Wafer,Part Number,Temp,Date
0.68,2.07,16,16,0.422985,0.478554,0.332668,4,P9HK27_0i_03,P0015,-40C,231114
0.68,2.07,20,20,0.422866,0.478554,0.332668,4,P9HK27_0i_03,P0015,-40C,231114
0.68,2.07,24,24,0.421840,0.478477,0.332439,4,P9HK27_0i_03,P0015,-40C,231114
0.68,2.07,28,28,0.423772,0.478554,0.332897,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.98,0,0,0.332349,0.406145,0.280174,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.98,4,4,0.327735,0.403169,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.98,8,8,0.327187,0.403627,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.98,12,12,0.326901,0.403017,0.280403,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.98,16,16,0.326668,0.403398,0.280021,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.98,20,20,0.327199,0.403551,0.281166,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.98,24,24,0.326853,0.403398,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.98,28,28,0.327008,0.403093,0.280097,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.8,0,0,0.262046,0.283226,0.208528,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.8,4,4,0.259625,0.280784,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.8,8,8,0.259637,0.280403,0.208452,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.8,12,12,0.259309,0.280555,0.208528,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.8,16,16,0.259500,0.280631,0.208528,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.8,20,20,0.259268,0.280326,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.8,24,24,0.259542,0.280174,0.208223,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.8,28,28,0.259363,0.280555,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.62,0,0,0.247811,0.003510,0.176711,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.62,4,4,0.256651,0.003586,0.177169,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.62,8,8,0.263917,0.003739,0.176787,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.62,12,12,0.262975,0.003586,0.176863,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.62,16,16,0.255161,0.003586,0.176635,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.62,20,20,0.247984,0.003510,0.177016,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.62,24,24,0.255667,0.003586,0.177016,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.62,28,28,0.254594,0.003510,0.176558,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.53,0,0,0.250773,0.003510,0.170530,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.53,4,4,0.258463,0.003433,0.170683,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.53,8,8,0.266170,0.003510,0.170836,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.53,12,12,0.258111,0.003433,0.170607,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.53,16,16,0.258242,0.003662,0.170988,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.53,20,20,0.265759,0.003205,0.170454,4,P9HK27_0i_03,P0015,-40C,231114
0.68,1.53,24,24,0.258403,0.003281,0.170988,4,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,0,0,0.468610,0.003891,0.332897,3,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,4,4,0.435449,0.003891,0.332134,3,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,8,8,0.434615,0.003815,0.332134,3,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,12,12,0.434972,0.003891,0.333050,3,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,16,16,0.435062,0.004273,0.332821,3,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,20,20,0.435306,0.003815,0.332515,3,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,24,24,0.434889,0.003891,0.332363,3,P9HK27_0i_03,P0015,-40C,231114
0.92,2.07,28,28,0.435527,0.003891,0.332439,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,0,0,0.332516,0.003739,0.280250,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,4,4,0.344247,0.003815,0.280326,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,8,8,0.343740,0.003739,0.280403,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,12,12,0.342721,0.003739,0.280174,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,16,16,0.344074,0.003815,0.280555,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,20,20,0.336551,0.004044,0.280250,3,P9HK27_0i_03,P0015,-40C,231114
