Lot_Bin_Wafer,part,instance,temp,date,block,lfo_ovr,Vdd,rd_vbl,pattern,idd/bit,idd18/bit,safv,rd_count,osc_setting,osc_delta,rd_delay,err_cnt,ppm
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.720,0x0f,zeros,-447.92,7.69,0x09,0x05,0x08,0.0010,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.720,0x0f,zeros,-447.92,7.69,0x09,0x06,0x08,0.0034,7.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.720,0x0f,zeros,-447.92,7.69,0x09,0x02,0x1e,0.0125,8.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.720,0x0f,zeros,-447.92,7.69,0x09,0x06,0x0d,0.0379,10.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,ones,515.62,-1.60,0x01,0x01,0x0f,0.0030,3.50,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,ones,515.62,-1.60,0x01,0x01,0x1b,0.0759,3.75,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,ones,515.62,-1.60,0x01,0x02,0x05,0.0004,4.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,ones,515.62,-1.60,0x01,0x01,0x1e,0.0112,4.50,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,ones,515.62,-1.60,0x01,0x02,0x13,0.0059,5.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,ones,515.62,-1.60,0x01,0x05,0x08,0.0200,6.00,0.00,0.0
P9KT98_0a_X,P0008,0,25C,221013,2,0,0.880,0x0f,ones,515.62,-1.60,0x01,0x02,0x1e,0.0109,7.00,0.00,0.0
