Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6
P9HK26_0I_05,P0013,2,025C,210624,0x00:,183.8942,0.5609,0x000e,2.9948,0x000a,1.4958,0x13,55,0x00000041,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,147.4359,-5.5288,0x000e,2.9948,0x000a,1.4958,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,189.1026,-1.4423,0x000e,2.9948,0x000b,1.4971,0x07,20,0x00000210,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.7596,-5.2083,0x000e,2.9948,0x000b,1.4971,0x07,20,0x00000006,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,189.1026,-1.4423,0x000e,2.9948,0x000b,1.4971,0x09,25,0x0000017e,0x00000002,0x00000001,0x00000001,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.7596,-5.2083,0x000e,2.9948,0x000b,1.4971,0x09,25,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,189.1026,-1.4423,0x000e,2.9948,0x000b,1.4971,0x0b,30,0x0000011e,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.7596,-5.2083,0x000e,2.9948,0x000b,1.4971,0x0b,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,189.1026,-1.4423,0x000e,2.9948,0x000b,1.4971,0x0e,40,0x00000078,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.7596,-5.2083,0x000e,2.9948,0x000b,1.4971,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,189.1026,-1.4423,0x000e,2.9948,0x000b,1.4971,0x13,55,0x0000003c,0x00000002,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.7596,-5.2083,0x000e,2.9948,0x000b,1.4971,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,186.8590,-0.2404,0x000e,2.9948,0x000c,1.4976,0x07,20,0x00000197,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.0385,-4.6474,0x000e,2.9948,0x000c,1.4976,0x07,20,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,186.8590,-0.2404,0x000e,2.9948,0x000c,1.4976,0x09,25,0x00000114,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.0385,-4.6474,0x000e,2.9948,0x000c,1.4976,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,186.8590,-0.2404,0x000e,2.9948,0x000c,1.4976,0x0b,30,0x000000a2,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.0385,-4.6474,0x000e,2.9948,0x000c,1.4976,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,186.8590,-0.2404,0x000e,2.9948,0x000c,1.4976,0x0e,40,0x00000055,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.0385,-4.6474,0x000e,2.9948,0x000c,1.4976,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,186.8590,-0.2404,0x000e,2.9948,0x000c,1.4976,0x13,55,0x00000029,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,149.0385,-4.6474,0x000e,2.9948,0x000c,1.4976,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,192.3077,1.4423,0x000e,2.9948,0x000d,1.4962,0x07,20,0x0000012b,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,163.1410,-3.1250,0x000e,2.9948,0x000d,1.4962,0x07,20,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,192.3077,1.4423,0x000e,2.9948,0x000d,1.4962,0x09,25,0x000000b7,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,163.1410,-3.1250,0x000e,2.9948,0x000d,1.4962,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,192.3077,1.4423,0x000e,2.9948,0x000d,1.4962,0x0b,30,0x00000068,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,163.1410,-3.1250,0x000e,2.9948,0x000d,1.4962,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,192.3077,1.4423,0x000e,2.9948,0x000d,1.4962,0x0e,40,0x00000030,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,163.1410,-3.1250,0x000e,2.9948,0x000d,1.4962,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,192.3077,1.4423,0x000e,2.9948,0x000d,1.4962,0x13,55,0x00000013,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,163.1410,-3.1250,0x000e,2.9948,0x000d,1.4962,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,202.6442,-0.4006,0x000e,2.9948,0x000e,1.4949,0x07,20,0x000000c9,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.8205,-3.2853,0x000e,2.9948,0x000e,1.4949,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,202.6442,-0.4006,0x000e,2.9948,0x000e,1.4949,0x09,25,0x0000006f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.8205,-3.2853,0x000e,2.9948,0x000e,1.4949,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,202.6442,-0.4006,0x000e,2.9948,0x000e,1.4949,0x0b,30,0x0000003f,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.8205,-3.2853,0x000e,2.9948,0x000e,1.4949,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,202.6442,-0.4006,0x000e,2.9948,0x000e,1.4949,0x0e,40,0x0000001d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.8205,-3.2853,0x000e,2.9948,0x000e,1.4949,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,202.6442,-0.4006,0x000e,2.9948,0x000e,1.4949,0x13,55,0x0000000b,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.8205,-3.2853,0x000e,2.9948,0x000e,1.4949,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,189.5833,-0.8013,0x000e,2.9948,0x000f,1.4943,0x07,20,0x0000006d,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,165.4647,-0.1603,0x000e,2.9948,0x000f,1.4943,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,189.5833,-0.8013,0x000e,2.9948,0x000f,1.4943,0x09,25,0x00000046,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
